Date,Open,High,Low,Close,Volume,Name
2014-04-25,6855.799805,6869.850098,6772.850098,6782.75,154300,NSEI
2014-04-28,6778.549805,6786.25,6750.299805,6761.25,118200,NSEI
2014-04-29,6769,6779.700195,6708.649902,6715.25,115500,NSEI
2014-04-30,6724.950195,6780.149902,6656.799805,6696.399902,161100,NSEI
2014-05-02,6709.950195,6737.649902,6689.5,6694.799805,114300,NSEI
2014-05-05,6681.649902,6741.049805,6680.450195,6699.350098,105000,NSEI
2014-05-06,6719.25,6743.450195,6701.899902,6715.299805,88300,NSEI
2014-05-07,6708.600098,6718.75,6642.899902,6652.549805,114100,NSEI
2014-05-08,6669.899902,6688.399902,6638.549805,6659.850098,101600,NSEI
2014-05-09,6654.149902,6871.350098,6652.149902,6858.799805,166400,NSEI
2014-05-12,6863.399902,7020.049805,6862.899902,7014.25,157700,NSEI
2014-05-13,7080,7172.350098,7067.149902,7108.75,232200,NSEI
2014-05-14,7112,7142.25,7080.899902,7108.75,177200,NSEI
2014-05-15,7111.299805,7152.549805,7082.549805,7123.149902,186800,NSEI
2014-05-16,7270.200195,7563.5,7130.649902,7203,393200,NSEI
2014-05-19,7276.850098,7291.100098,7193.549805,7263.549805,316200,NSEI
2014-05-20,7309.950195,7353.649902,7247.700195,7275.5,255300,NSEI
2014-05-21,7274.850098,7287.149902,7206.700195,7252.899902,203100,NSEI
2014-05-22,7289.950195,7319.549805,7258.149902,7276.399902,240900,NSEI
2014-05-23,7306.5,7381,7293.899902,7367.100098,259600,NSEI
2014-05-26,7428.75,7504,7269.049805,7359.049805,273200,NSEI
2014-05-27,7363.100098,7372.950195,7274.75,7318,168600,NSEI
2014-05-28,7324.950195,7344.75,7302.600098,7329.649902,175600,NSEI
2014-05-29,7316.600098,7325.399902,7224.399902,7235.649902,241100,NSEI
2014-05-30,7254.850098,7272.5,7118.450195,7229.950195,312200,NSEI
2014-06-02,7264.049805,7368.600098,7239.5,7362.5,169900,NSEI
2014-06-03,7375.350098,7424.950195,7342.149902,7415.850098,234700,NSEI
2014-06-04,7417.549805,7433.299805,7391.350098,7402.25,204600,NSEI
2014-06-05,7399.75,7484.700195,7360.5,7474.100098,250700,NSEI
2014-06-06,7521.5,7592.700195,7497.649902,7583.399902,248400,NSEI
2014-06-09,7621.649902,7673.700195,7580.25,7654.600098,231900,NSEI
2014-06-10,7679.049805,7683.200195,7579.299805,7656.399902,188700,NSEI
2014-06-11,7672.399902,7700.049805,7589.049805,7626.850098,186200,NSEI
2014-06-12,7641.299805,7658,7593.799805,7649.899902,148200,NSEI
2014-06-13,7668.200195,7678.5,7525.350098,7542.100098,174500,NSEI
